quote,author,love,inspirational,life,humor,books,reading,friendship,friends,truth,simile
two way live life one though nothing miracle though everything miracle,Albert Einstein,0,1,1,0,0,0,0,0,0,0
life like riding bicycle keep balance must keep moving,Albert Einstein,0,0,1,0,0,0,0,0,0,1
flower every time thought youi could walk garden forever,Alfred Tennyson,1,0,0,0,0,0,1,0,0,0
life happens u making plan,Allen Saunders,0,0,1,0,0,0,0,0,0,0
better hated loved,André Gide,1,0,1,0,0,0,0,0,0,0
may first last loved may love love else matter shes perfect—you arent either two may never perfect together make laugh cause think twice admit human making mistake hold onto give may thinking every second day give part know break—her heart dont hurt dont change dont analyze dont expect give smile make happy let know make mad miss shes,Bob Marley,1,0,0,0,0,0,0,0,0,0
love vulnerable love anything heart wrung possibly broken want make sure keeping intact must give one even animal wrap carefully round hobby little luxury avoid entanglement lock safe casket coffin selfishness casket safe dark motionless airless change broken become unbreakable impenetrable irredeemable love vulnerable,C.S. Lewis,1,0,0,0,0,0,0,0,0,0
never get cup tea large enough book long enough suit,C.S. Lewis,0,1,0,0,1,1,0,0,0,0
may gone intended go think ended needed,Douglas Adams,0,0,1,0,0,0,0,0,0,0
today truer true one alive youer,Dr. Seuss,0,0,1,0,0,0,0,0,0,0
person person matter small,Dr. Seuss,0,1,0,0,0,0,0,0,0,0
opposite love hate indifference opposite art ugliness indifference opposite faith heresy indifference opposite life death indifference,Elie Wiesel,1,1,0,0,0,0,0,0,0,0
lack love lack friendship make unhappy marriage,Friedrich Nietzsche,1,0,0,0,0,0,1,0,0,0
life isnt finding life creating,George Bernard Shaw,0,1,1,0,0,0,0,0,0,0
never late might,George Eliot,0,1,0,0,0,0,0,0,0,0
one door happiness close another open often look long closed door see one opened u,Helen Keller,0,1,0,0,0,0,0,0,0,0
wellorganized mind death next great adventure,J.K. Rowling,0,1,0,0,0,0,0,0,0,0
die awfully big adventure,J.M. Barrie,1,0,0,0,0,0,0,0,0,0
love begin end way seem think love battle love war love growing,James Baldwin,1,0,0,0,0,0,0,0,0,0
lady imagination rapid jump admiration love love matrimony moment,Jane Austen,1,0,0,1,0,0,0,0,0,0
nothing would really friend notion loving people half nature,Jane Austen,1,0,0,0,0,0,1,0,0,0
im one thats got die time die let live life way want,Jimi Hendrix,0,0,1,0,0,0,0,0,0,0
may say im dreamer im one hope someday youll join u world live one,John Lennon,0,1,0,0,0,0,0,0,0,0
better get hurt truth comforted lie,Khaled Hosseini,0,0,1,0,0,0,0,0,0,0
imperfection beauty madness genius better absolutely ridiculous absolutely boring,Marilyn Monroe,0,1,0,0,0,0,0,0,0,0
make woman laugh make anything,Marilyn Monroe,1,0,0,0,0,0,0,0,0,0
real lover man thrill kissing forehead smiling eye staring space,Marilyn Monroe,1,0,0,0,0,0,0,0,0,0
life make matter youre going mess sometimes universal truth good part get decide youre going mess girl friend theyll act like anyway remember come go one stay everything theyre true best friend dont let go also remember sister make best friend world lover well theyll come go baby hate say actually pretty much going break heart cant give give youll never find soulmate youll never find half make whole go everything fail doesnt mean youre gon na fail everything keep trying hold always always always believe dont sweetie keep head high keep chin importantly keep smiling life beautiful thing there much smile,Marilyn Monroe,1,1,1,0,0,0,0,1,0,0
good friend good book sleepy conscience ideal life,Mark Twain,0,0,1,0,1,0,1,1,0,0
fear death follows fear life man life fully prepared die time,Mark Twain,0,0,1,0,0,0,0,0,0,0
darkness see star,Martin Luther King Jr.,0,1,0,0,0,0,0,0,0,0
love without knowing love simply without problem pride love way know way loving intimate hand upon chest hand intimate fall asleep eye close,Pablo Neruda,1,0,0,0,0,0,0,0,0,0
finish day done done could blunder absurdity doubt crept forget soon tomorrow new day shall begin serenely high spirit encumbered old nonsense,Ralph Waldo Emerson,0,0,1,0,0,0,0,0,0,0
failed ive found 10000 way wont work,Thomas A. Edison,0,1,0,0,0,0,0,0,0,0
